kappa,problem,method,seed,success,first_feasible,best_f,final_ncv,declared_cost,structural_gain
1,Annulus10,DCAS,0,1,89,0.4191661738519132,0.0,399.2957344084484,72.9703514762797
1,Annulus10,DCAS,1,1,108,0.1741508893659156,0.0,400.91351649598823,71.42613596682577
1,Annulus10,DCAS,2,1,133,0.025399306385617854,0.0,401.4641522473024,72.2281204769173
1,Annulus10,UCB-Success,0,1,90,-0.10671037681902407,0.0,420.6068218938694,73.99158325826735
1,Annulus10,UCB-Success,1,1,174,0.24377450132500314,0.0,426.62628857345607,79.06215882757104
1,Annulus10,UCB-Success,2,1,116,0.02699043807030513,0.0,411.7298669865497,77.5335999266564
1,Annulus10,UCB-Violation,0,1,84,-0.010549524806292288,0.0,396.8985152905515,62.90589967796533
1,Annulus10,UCB-Violation,1,1,127,-0.18787596932477585,0.0,408.887184706983,72.78993267758102
1,Annulus10,UCB-Violation,2,1,104,0.9682473276212358,0.0,396.5319388893453,61.54216190943237
1,RotatedBox10,DCAS,0,1,202,5.652883212075119,0.0,403.0224358536246,48.42962176236742
1,RotatedBox10,DCAS,1,1,295,7.325462211682696,0.0,405.1529705366499,48.662874551916026
1,RotatedBox10,DCAS,2,1,169,4.744395380337221,0.0,402.0458450738895,55.172810627393275
1,RotatedBox10,UCB-Success,0,1,204,4.929050671041068,0.0,426.37024405705233,62.375067939590124
1,RotatedBox10,UCB-Success,1,1,166,4.117322457090627,0.0,414.667361948545,57.16334871099363
1,RotatedBox10,UCB-Success,2,1,149,5.5976364009453645,0.0,416.90305281617503,59.67887173315729
1,RotatedBox10,UCB-Violation,0,1,165,4.649996745067613,0.0,398.1327212134444,55.24404245181321
1,RotatedBox10,UCB-Violation,1,1,265,5.153281646350026,0.0,413.22473268148053,48.47749111375397
1,RotatedBox10,UCB-Violation,2,1,283,5.972288416756085,0.0,401.3683380191479,54.50915222290365
1,NarrowCorridor12,DCAS,0,1,140,1.3217326918865853,0.0,405.09965264723996,55.82543011513174
1,NarrowCorridor12,DCAS,1,1,59,1.4202101691532012,0.0,401.3244123035363,51.12331188317296
1,NarrowCorridor12,DCAS,2,1,142,1.0041218088757764,0.0,407.5122955833651,62.626191664127006
1,NarrowCorridor12,UCB-Success,0,1,124,0.7951859173615313,0.0,423.8174648508164,68.6930863747305
1,NarrowCorridor12,UCB-Success,1,1,184,1.2370718625163586,0.0,421.8424249470566,66.7393849791779
1,NarrowCorridor12,UCB-Success,2,1,142,1.2066910552132475,0.0,425.06303737234333,59.482344814101026
1,NarrowCorridor12,UCB-Violation,0,1,157,1.3373285017700627,0.0,410.9686413312938,55.50437394206041
1,NarrowCorridor12,UCB-Violation,1,1,101,1.1532099339428417,0.0,405.02731145623176,59.280918361789254
