problem,dim,method,seed,budget,success,first_feasible,best_f,final_ncv,declared_cost,elapsed_sec
CantileverBeam,5,CMA-ES,0,400,1,8,4.428374079361706,0.0,400.0,0.0327433840011508
CantileverBeam,5,CMA-ES,1,400,1,1,6.407611023074797,0.0,400.0,0.0378524059997289
CantileverBeam,5,CMA-ES,2,400,1,1,4.217437342860523,0.0,400.0,0.0480333669984247
CantileverBeam,5,CMA-ES,3,400,1,4,4.233066389928758,0.0,400.0,0.0343488010003056
CantileverBeam,5,CMA-ES,4,400,1,2,6.817921966904744,0.0,400.0,0.0495924059996468
CantileverBeam,5,CMA-ES,5,400,1,1,5.462222971611721,0.0,400.0,0.0396524409989069
CantileverBeam,5,CMA-ES,6,400,1,1,5.232571530586288,0.0,400.0,0.1340388739990885
CantileverBeam,5,CMA-ES,7,400,1,1,5.464063571082911,0.0,400.0,0.0408184369989612
CantileverBeam,5,CMA-ES,8,400,1,1,3.548728773831716,0.0,400.0,0.0403526009995403
CantileverBeam,5,CMA-ES,9,400,1,1,6.282443731906317,0.0,400.0,0.0392472590010584
CantileverBeam,5,CMA-ES,10,400,1,1,4.632628374049269,0.0,400.0,0.0353207170010136
CantileverBeam,5,CMA-ES,11,400,1,6,5.869369419133927,0.0,400.0,0.0342307040009473
CantileverBeam,5,CMA-ES,12,400,1,3,4.426240741676994,0.0,400.0,0.0380320080003002
CantileverBeam,5,CMA-ES,13,400,1,1,4.268022568435887,0.0,400.0,0.0284224639999592
CantileverBeam,5,CMA-ES,14,400,1,1,5.564675291964287,0.0,400.0,0.0316324369996436
CantileverBeam,5,CMA-ES,15,400,1,3,3.771923841229896,0.0,400.0,0.037420218999614
CantileverBeam,5,CMA-ES,16,400,1,2,4.696465051246929,0.0,400.0,0.0376743460001307
CantileverBeam,5,CMA-ES,17,400,1,2,5.060107855898212,0.0,400.0,0.033751189999748
CantileverBeam,5,CMA-ES,18,400,1,1,5.428753316717256,0.0,400.0,0.0432760340008826
CantileverBeam,5,CMA-ES,19,400,1,1,5.020112161646034,0.0,400.0,0.0520628989997931
CantileverBeam,5,CMA-ES,20,400,1,3,4.014661694081449,0.0,400.0,0.0301666690011188
CantileverBeam,5,CMA-ES,21,400,1,1,4.349905806411338,0.0,400.0,0.0369314729996403
CantileverBeam,5,CMA-ES,22,400,1,2,3.2577728438248705,0.0,400.0,0.032162542000151
CantileverBeam,5,CMA-ES,23,400,1,1,4.393998486293391,0.0,400.0,0.037417239998831
CantileverBeam,5,CMA-ES,24,400,1,1,3.484892212119268,0.0,400.0,0.0363540159996773
CantileverBeam,5,CMA-ES,25,400,1,1,5.132726622696455,0.0,400.0,0.0254350640007032
CantileverBeam,5,CMA-ES,26,400,1,2,5.312455425328985,0.0,400.0,0.0322358379999059
CantileverBeam,5,CMA-ES,27,400,1,1,4.541656363691101,0.0,400.0,0.0346439529985218
CantileverBeam,5,CMA-ES,28,400,1,3,5.977056995203017,0.0,400.0,0.0385240260002319
CantileverBeam,5,CMA-ES,29,400,1,4,3.055987056176924,0.0,400.0,0.0341907330002868
CantileverBeam,5,DCAS-CMA,0,400,1,2,6.329743385880191,0.0,398.3645895628536,0.4056595460006065
CantileverBeam,5,DCAS-CMA,1,400,1,1,5.132675869108599,0.0,400.4159705146141,0.2430618710004637
CantileverBeam,5,DCAS-CMA,2,400,1,1,5.333888506001347,0.0,397.63557161885865,0.1963620799997443
CantileverBeam,5,DCAS-CMA,3,400,1,1,5.491522901245789,0.0,399.29483538387046,0.1789464649991714
CantileverBeam,5,DCAS-CMA,4,400,1,1,7.654670762580183,0.0,400.268747486693,0.2051301579995197
CantileverBeam,5,DCAS-CMA,5,400,1,1,5.282775084673746,0.0,402.1968350846067,0.2226297149991296
CantileverBeam,5,DCAS-CMA,6,400,1,1,7.87840381983106,0.0,398.0535843113402,0.4245565640012501
CantileverBeam,5,DCAS-CMA,7,400,1,1,4.506665407482921,0.0,398.1698345561229,0.4278991389983275
CantileverBeam,5,DCAS-CMA,8,400,1,1,5.048565727171299,0.0,399.1312633909457,0.3881119039997429
CantileverBeam,5,DCAS-CMA,9,400,1,1,6.355366073550235,0.0,400.5018356253077,0.3863271830014128
CantileverBeam,5,DCAS-CMA,10,400,1,1,5.067243867450534,0.0,402.2898629557975,0.3913451629996416
CantileverBeam,5,DCAS-CMA,11,400,1,1,5.055384906515744,0.0,401.9173245276813,0.4196107879997726
