problem,family,dim,method,seed,budget,success,first_feasible,best_f,final_ncv,elapsed_sec
LargeChain100,chain,100,DCAS-DE,0,600,1,564,18.139936297008155,0.0,0.1401859270008572
LargeChain100,chain,100,DCAS-DE,1,600,1,529,17.754717307934875,0.0,0.145994870999857
LargeChain100,chain,100,DCAS-DE,2,600,0,601,inf,0.0003749016312148,0.1229422320011508
LargeChain100,chain,100,DCAS-DE,3,600,0,601,inf,0.0554980057208216,0.1316078340005333
LargeChain100,chain,100,DCAS-DE,4,600,0,601,inf,0.0639629128395056,0.148212231000798
LargeChain100,chain,100,DCAS-DE,5,600,1,471,21.81865961504737,0.0,0.1511021019996405
LargeChain100,chain,100,DCAS-DE,6,600,0,601,inf,0.0144317144029187,0.1368170490004558
LargeChain100,chain,100,DCAS-DE,7,600,1,555,33.63180849024537,0.0,0.1586824669993802
LargeChain100,chain,100,DCAS-DE,8,600,0,601,inf,0.0180365427927079,0.1418167409992747
LargeChain100,chain,100,DCAS-DE,9,600,1,553,21.25597461152399,0.0,0.136966025998845
LargeChain100,chain,100,DCAS-PSO,0,600,1,570,34.87298297865546,0.0,0.1591109580003831
LargeChain100,chain,100,DCAS-PSO,1,600,1,500,19.995012246953667,0.0,0.1714358339995669
LargeChain100,chain,100,DCAS-PSO,2,600,0,601,inf,0.0716642360528007,0.2580456800005777
LargeChain100,chain,100,DCAS-PSO,3,600,1,576,35.00110053468205,0.0,0.236637657000756
LargeChain100,chain,100,DCAS-PSO,4,600,0,601,inf,0.0259357834766822,0.21861891700064
LargeChain100,chain,100,DCAS-PSO,5,600,1,493,32.44489325807152,0.0,0.1949778580001293
LargeChain100,chain,100,DCAS-PSO,6,600,1,541,25.36338077546532,0.0,0.1886730170008377
LargeChain100,chain,100,DCAS-PSO,7,600,0,601,inf,0.0205321039050785,0.1609243240000069
LargeChain100,chain,100,DCAS-PSO,8,600,1,408,29.12794228593609,0.0,0.1727324430012231
LargeChain100,chain,100,DCAS-PSO,9,600,0,601,inf,0.0302242997220781,0.1493684390006819
LargeChain100,chain,100,JADE-NCV,0,600,0,601,inf,1.302273022710431,0.0572275429985893
LargeChain100,chain,100,JADE-NCV,1,600,0,601,inf,0.7504329786456736,0.0519250779998401
LargeChain100,chain,100,JADE-NCV,2,600,0,601,inf,0.6102785499347261,0.0581012790007662
LargeChain100,chain,100,JADE-NCV,3,600,0,601,inf,1.4011963598455914,0.0572963340000569
LargeChain100,chain,100,JADE-NCV,4,600,0,601,inf,0.5360592130860616,0.0591279079999367
LargeChain100,chain,100,JADE-NCV,5,600,0,601,inf,1.32837555986429,0.0560897539999132
LargeChain100,chain,100,JADE-NCV,6,600,0,601,inf,0.9166672699836742,0.0514153990006889
LargeChain100,chain,100,JADE-NCV,7,600,0,601,inf,0.9547948337724343,0.0518288029998075
LargeChain100,chain,100,JADE-NCV,8,600,0,601,inf,0.5635174622404959,0.0545931409997137
LargeChain100,chain,100,JADE-NCV,9,600,0,601,inf,0.2953694062502998,0.0561936480007716
LargeChain100,chain,100,PSO,0,600,0,601,inf,0.1052697238775774,0.0277221150008699
LargeChain100,chain,100,PSO,1,600,0,601,inf,0.3660438111965812,0.0486673189989232
LargeChain100,chain,100,PSO,2,600,0,601,inf,0.2262956880768929,0.0384228669990989
LargeChain100,chain,100,PSO,3,600,0,601,inf,0.3447825251171552,0.0303151269999943
LargeChain100,chain,100,PSO,4,600,0,601,inf,0.3189151662006805,0.0307041940013732
LargeChain100,chain,100,PSO,5,600,0,601,inf,0.4723713014456429,0.0409641300011571
LargeChain100,chain,100,PSO,6,600,0,601,inf,0.3186590178324349,0.0349316009996982
LargeChain100,chain,100,PSO,7,600,0,601,inf,0.3001141579256921,0.0375540880013431
LargeChain100,chain,100,PSO,8,600,0,601,inf,0.7665834078935525,0.0283940469998924
LargeChain100,chain,100,PSO,9,600,0,601,inf,0.2563342888071463,0.02629227000034
LargeShell100,shell,100,DCAS-DE,0,600,1,45,0.0942970596300963,0.0,0.3455441620008059
LargeShell100,shell,100,DCAS-DE,1,600,1,45,0.0890973823877922,0.0,0.3446341179987939
LargeShell100,shell,100,DCAS-DE,2,600,1,44,0.0858682871501247,0.0,0.307471883999824
LargeShell100,shell,100,DCAS-DE,3,600,1,50,0.0987500458148614,0.0,0.2880923569991864
LargeShell100,shell,100,DCAS-DE,4,600,1,45,0.085533743614552,0.0,0.31720506900092
LargeShell100,shell,100,DCAS-DE,5,600,1,50,0.0870218292540499,0.0,0.3079793910001172
LargeShell100,shell,100,DCAS-DE,6,600,1,12,0.0854533276217086,0.0,0.2935362230000464
LargeShell100,shell,100,DCAS-DE,7,600,1,44,0.089171775308574,0.0,0.3022157520008477
LargeShell100,shell,100,DCAS-DE,8,600,1,56,0.0910088446878369,0.0,0.3047238580002158
LargeShell100,shell,100,DCAS-DE,9,600,1,44,0.0853860268054073,0.0,0.3107086029995116
LargeShell100,shell,100,DCAS-PSO,0,600,1,41,0.0956505722344068,0.0,0.30378262999875
LargeShell100,shell,100,DCAS-PSO,1,600,1,41,0.096193449523285,0.0,0.3135309460012649
LargeShell100,shell,100,DCAS-PSO,2,600,1,41,0.1049748729322976,0.0,0.3284848099992814
LargeShell100,shell,100,DCAS-PSO,3,600,1,41,0.1362059025575351,0.0,0.3154591649999929
LargeShell100,shell,100,DCAS-PSO,4,600,1,42,0.0928828101825015,0.0,0.322751136000079
LargeShell100,shell,100,DCAS-PSO,5,600,1,47,0.0859140273601872,0.0,0.3232134649988438
LargeShell100,shell,100,DCAS-PSO,6,600,1,12,0.1153291577868631,0.0,0.3576837939999677
LargeShell100,shell,100,DCAS-PSO,7,600,1,41,0.0954275438828152,0.0,0.3562496559989085
LargeShell100,shell,100,DCAS-PSO,8,600,1,42,0.0943118602583128,0.0,0.3431423359998007
LargeShell100,shell,100,DCAS-PSO,9,600,1,41,0.0939262596014189,0.0,0.3278244089997315
LargeShell100,shell,100,JADE-NCV,0,600,1,90,0.262923683426541,0.0,0.056252989999848
LargeShell100,shell,100,JADE-NCV,1,600,1,41,0.2099268818942292,0.0,0.0739585810006246
LargeShell100,shell,100,JADE-NCV,2,600,1,169,0.2301656116213951,0.0,0.0657451269999001
LargeShell100,shell,100,JADE-NCV,3,600,1,121,0.2128801720006412,0.0,0.0829433609997067
LargeShell100,shell,100,JADE-NCV,4,600,1,91,0.2242673973737005,0.0,0.0685967939989495
LargeShell100,shell,100,JADE-NCV,5,600,1,54,0.2712457828699042,0.0,0.0662198560003162
LargeShell100,shell,100,JADE-NCV,6,600,1,12,0.2171229643645827,0.0,0.0802196940003341
LargeShell100,shell,100,JADE-NCV,7,600,1,54,0.2235219908739996,0.0,0.085815452001043
LargeShell100,shell,100,JADE-NCV,8,600,1,83,0.212699496152787,0.0,0.0605984180001542
LargeShell100,shell,100,JADE-NCV,9,600,1,48,0.2357509463282413,0.0,0.0642156680005427
LargeShell100,shell,100,PSO,0,600,1,41,0.2416588601745557,0.0,0.0346265040006983
LargeShell100,shell,100,PSO,1,600,1,41,0.1951728192874203,0.0,0.0294177479991049
LargeShell100,shell,100,PSO,2,600,1,41,0.1691742664081673,0.0,0.0305137100003776
LargeShell100,shell,100,PSO,3,600,1,41,0.2389677943135054,0.0,0.029482921001545
LargeShell100,shell,100,PSO,4,600,1,42,0.1876374857352921,0.0,0.0279305940002814
