problem,dim,method,seed,budget,kappa,success,first_feasible,best_f,final_ncv,declared_cost,structural_gain,allocation_sd,rcd,action_entropy,action_counts
Annulus10,10,DCAS,0,400,1.0,1,127,-0.3028407609060618,0.0,404.38525725011124,70.8587596382522,0.050777591760409066,0.6673809523809524,1.5794670233858878,"{""rand1"": 52, ""pbest"": 59, ""closure"": 63, ""local"": 98, ""consensus"": 88}"
Annulus10,10,DCAS,1,400,1.0,1,134,-0.1833444722567564,0.0,403.44401473436136,71.80070768306844,0.04781670898350043,0.13879120879120874,1.5851912680727689,"{""rand1"": 51, ""pbest"": 56, ""closure"": 78, ""local"": 86, ""consensus"": 89}"
Annulus10,10,DCAS,2,400,1.0,1,82,0.0490823196379046,0.0,401.63858845596496,66.84833666527763,0.054746360341608194,0.3620879120879121,1.5862697131561931,"{""rand1"": 54, ""pbest"": 53, ""closure"": 87, ""local"": 81, ""consensus"": 85}"
Annulus10,10,DCAS,3,400,1.0,1,91,-0.10900262821815435,0.0,398.5846392548685,71.08337127536156,0.0322868063144717,0.14857142857142858,1.6019235495681385,"{""rand1"": 56, ""pbest"": 71, ""closure"": 77, ""local"": 81, ""consensus"": 75}"
Annulus10,10,DCAS,4,400,1.0,1,164,-0.09337880551084354,0.0,408.7979226136843,74.9280957099644,0.07313984942415805,0.14967032967032964,1.5583731753407761,"{""rand1"": 51, ""pbest"": 59, ""closure"": 50, ""local"": 95, ""consensus"": 105}"
Annulus10,10,DCAS,5,400,1.0,1,142,0.49869771547293457,0.0,402.28965621896657,72.1893082924548,0.04395998295848865,0.36945054945054945,1.591178642442991,"{""rand1"": 54, ""pbest"": 58, ""closure"": 78, ""local"": 89, ""consensus"": 81}"
Annulus10,10,DCAS,6,400,1.0,1,138,-0.09925354073567239,0.0,402.5601370268117,78.10627146631086,0.038968897388874525,0.698921568627451,1.5946789014306972,"{""rand1"": 62, ""pbest"": 54, ""closure"": 75, ""local"": 85, ""consensus"": 84}"
Annulus10,10,DCAS,7,400,1.0,1,112,0.3341790919498587,0.0,401.7062235452811,63.608189059748476,0.04336170026207,0.11857142857142862,1.5919358011193137,"{""rand1"": 50, ""pbest"": 68, ""closure"": 71, ""local"": 87, ""consensus"": 84}"
Annulus10,10,DCAS,8,400,1.0,1,46,-0.12824897926261097,0.0,400.47905677007714,66.86099731067245,0.04056377507369931,0.15714285714285714,1.5971305352875698,"{""rand1"": 61, ""pbest"": 59, ""closure"": 83, ""local"": 70, ""consensus"": 87}"
Annulus10,10,DCAS,9,400,1.0,1,157,0.6301061933930685,0.0,398.38156157909566,74.43796461649082,0.05076346307115572,0.2942857142857143,1.5951618754682366,"{""rand1"": 65, ""pbest"": 69, ""closure"": 65, ""local"": 97, ""consensus"": 64}"
ChainConstraint30,30,DCAS,0,400,1.0,1,180,4.72673901894094,0.0,421.9563325901926,69.12449175224214,0.052073592697158055,0.5583409555337429,1.5794956887725506,"{""rand1"": 46, ""pbest"": 60, ""closure"": 77, ""local"": 96, ""consensus"": 81}"
ChainConstraint30,30,DCAS,1,400,1.0,1,209,4.641700130469508,0.0,424.31973416741516,81.99213910234957,0.07398048790477582,0.6823161351655,1.5484391879300379,"{""rand1"": 50, ""pbest"": 55, ""closure"": 53, ""local"": 118, ""consensus"": 84}"
ChainConstraint30,30,DCAS,2,400,1.0,1,248,4.394889160499277,0.0,430.69250941893114,70.32446953640975,0.08313952642491187,0.7204655811787231,1.5632975046093405,"{""rand1"": 49, ""pbest"": 60, ""closure"": 56, ""local"": 86, ""consensus"": 109}"
ChainConstraint30,30,DCAS,3,400,1.0,1,217,5.1072899088721675,0.0,433.29496081812306,65.66406630244612,0.08094822842875005,0.6625968414716146,1.5627496119729662,"{""rand1"": 54, ""pbest"": 55, ""closure"": 57, ""local"": 81, ""consensus"": 113}"
ChainConstraint30,30,DCAS,4,400,1.0,1,220,3.1471456299996126,0.0,429.77533248388227,70.91917937378821,0.07275160879661739,0.5429847602944646,1.5733245335226873,"{""rand1"": 54, ""pbest"": 58, ""closure"": 57, ""local"": 89, ""consensus"": 102}"
ChainConstraint30,30,DCAS,5,400,1.0,1,214,6.535467966782319,0.0,427.5251616418249,66.91939712417631,0.06413223239325787,0.6796203891212965,1.5836120369664162,"{""rand1"": 57, ""pbest"": 62, ""closure"": 57, ""local"": 89, ""consensus"": 95}"
ChainConstraint30,30,DCAS,6,400,1.0,1,207,4.741100462643065,0.0,423.97840725893025,74.14312550531598,0.059720414632356666,0.21785938199731306,1.583967126784644,"{""rand1"": 53, ""pbest"": 64, ""closure"": 60, ""local"": 90, ""consensus"": 93}"
ChainConstraint30,30,DCAS,7,400,1.0,1,249,4.538433364239979,0.0,428.49194715942815,70.26871768495234,0.08248798071020999,0.7148140977769308,1.5605042526501767,"{""rand1"": 55, ""pbest"": 62, ""closure"": 46, ""local"": 106, ""consensus"": 91}"
ChainConstraint30,30,DCAS,8,400,1.0,1,201,4.123263095386998,0.0,426.81672393047296,69.71316330258125,0.06285361714937021,0.5500172694290342,1.5762698574321077,"{""rand1"": 50, ""pbest"": 57, ""closure"": 65, ""local"": 93, ""consensus"": 95}"
ChainConstraint30,30,DCAS,9,400,1.0,1,222,3.740730023991214,0.0,432.28500420245564,70.55698933225251,0.08486664246694933,0.7357970035740659,1.5654782007702077,"{""rand1"": 57, ""pbest"": 55, ""closure"": 58, ""local"": 76, ""consensus"": 114}"
G06,2,DCAS,0,400,1.0,1,331,-5890.366841885637,0.0,381.2759044632305,101.5349238024424,0.1490062037307166,0.3505273427100052,1.4542150103695104,"{""rand1"": 81, ""pbest"": 57, ""closure"": 22, ""local"": 144, ""consensus"": 56}"
G06,2,DCAS,1,400,1.0,1,339,-4508.755346441913,0.0,382.18136234916335,101.97570265519009,0.1765530042113445,0.3045993361782836,1.411058989482021,"{""rand1"": 59, ""pbest"": 62, ""closure"": 20, ""local"": 162, ""consensus"": 57}"
G06,2,DCAS,2,400,1.0,1,391,-5892.332104386469,0.0,383.4679927115511,97.20234076517214,0.16248485146370265,0.18964875806981069,1.3887588163673588,"{""rand1"": 68, ""pbest"": 66, ""closure"": 9, ""local"": 153, ""consensus"": 64}"
G06,2,DCAS,3,400,1.0,0,401,inf,0.011112699574215932,382.26687378624894,99.88337475669917,0.1596969311523416,0.0,1.308059411657879,"{""rand1"": 85, ""pbest"": 65, ""closure"": 0, ""local"": 152, ""consensus"": 58}"
G06,2,DCAS,4,400,1.0,0,401,inf,0.009945694424501618,383.58827156132503,103.12749158235044,0.14574617129615525,0.0,1.3303247359052714,"{""rand1"": 95, ""pbest"": 68, ""closure"": 0, ""local"": 138, ""consensus"": 59}"
G06,2,DCAS,5,400,1.0,0,401,inf,0.004476890069783082,383.43126585630563,105.63010250506377,0.17950799418196178,0.0,1.2752701446235475,"{""rand1"": 60, ""pbest"": 71, ""closure"": 0, ""local"": 168, ""consensus"": 61}"
G06,2,DCAS,6,400,1.0,1,278,-6262.397402414937,0.0,380.83427807720875,101.21621305807099,0.1627999397678882,0.2882973770839545,1.4632682416842084,"{""rand1"": 66, ""pbest"": 50, ""closure"": 36, ""local"": 154, ""consensus"": 54}"
G06,2,DCAS,7,400,1.0,1,373,-5291.745166900247,0.0,382.81552782258694,97.29432676232177,0.1475471234319253,0.1479021879021879,1.4192484368606133,"{""rand1"": 81, ""pbest"": 61, ""closure"": 12, ""local"": 144, ""consensus"": 62}"
G06,2,DCAS,8,400,1.0,1,362,-6560.717864284065,0.0,380.2641359048045,93.8588073275763,0.15693688531166666,0.0,1.416406423212307,"{""rand1"": 85, ""pbest"": 58, ""closure"": 14, ""local"": 147, ""consensus"": 56}"
G06,2,DCAS,9,400,1.0,1,264,-3375.411740443521,0.0,382.07584775693186,99.47801310767277,0.13131731638830652,0.5225054319791163,1.511406200043745,"{""rand1"": 62, ""pbest"": 64, ""closure"": 38, ""local"": 137, ""consensus"": 59}"
G08,2,DCAS,0,400,1.0,1,63,-0.09510075896760758,0.0,383.41464230900584,41.219319424149575,0.020885765851875814,0.1746822066822067,1.6028187276679413,"{""rand1"": 72, ""pbest"": 78, ""closure"": 62, ""local"": 84, ""consensus"": 64}"
G08,2,DCAS,1,400,1.0,1,9,-0.08807087281847151,0.0,381.54551664197453,52.56907386308182,0.052029694287430504,0.3567106113700541,1.583942430764195,"{""rand1"": 68, ""pbest"": 63, ""closure"": 67, ""local"": 105, ""consensus"": 57}"
G08,2,DCAS,2,400,1.0,1,83,-0.09528422441533031,0.0,380.33624624560633,51.61553103318372,0.054499160598052244,0.4240264998159735,1.5717855805370586,"{""rand1"": 65, ""pbest"": 64, ""closure"": 67, ""local"": 112, ""consensus"": 52}"
G08,2,DCAS,3,400,1.0,1,56,-0.09507280280849163,0.0,380.79318505601714,69.63450426028986,0.04629241258492743,0.1188961038961039,1.571057716097344,"{""rand1"": 86, ""pbest"": 46, ""closure"": 77, ""local"": 98, ""consensus"": 53}"
G08,2,DCAS,4,400,1.0,1,34,-0.09089956924322054,0.0,378.199524583126,72.61973554484837,0.06283940878867826,0.1724675324675325,1.533167550352798,"{""rand1"": 59, ""pbest"": 55, ""closure"": 76, ""local"": 127, ""consensus"": 43}"
G08,2,DCAS,5,400,1.0,1,58,-0.09382792544496192,0.0,378.57518689882585,80.09011216518388,0.06889278299467533,0.5415384615384615,1.5143797321729386,"{""rand1"": 57, ""pbest"": 58, ""closure"": 64, ""local"": 138, ""consensus"": 43}"
G08,2,DCAS,6,400,1.0,1,15,-0.0860738491406899,0.0,380.4411438428126,49.54221037969705,0.03149047154578212,0.09014354066985648,1.5979854502116388,"{""rand1"": 68, ""pbest"": 85, ""closure"": 73, ""local"": 80, ""consensus"": 54}"
G08,2,DCAS,7,400,1.0,1,81,-0.09364241273188155,0.0,381.1930061264207,53.17795841724956,0.030952163692870377,0.27784185886353063,1.587785983205734,"{""rand1"": 79, ""pbest"": 69, ""closure"": 62, ""local"": 97, ""consensus"": 53}"
G08,2,DCAS,8,400,1.0,1,17,-0.09537996085084006,0.0,377.80775658441775,83.29908272732882,0.06425163405235679,0.1864935064935065,1.5235310856585114,"{""rand1"": 79, ""pbest"": 53, ""closure"": 55, ""local"": 130, ""consensus"": 43}"
