problem,dim,method,seed,budget,kappa,success,first_feasible,best_f,final_ncv,declared_cost,structural_gain,allocation_sd,rcd,action_entropy,action_counts
Annulus10,10,DE-PEN,0,400,1.0,0,401,inf,0.08079214782351324,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,1,400,1.0,0,401,inf,0.1109699232091052,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,2,400,1.0,1,72,2.072813966010648,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,3,400,1.0,0,401,inf,0.023165817120357667,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,4,400,1.0,0,401,inf,0.23414098101005298,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,5,400,1.0,0,401,inf,0.16482340789014185,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,6,400,1.0,0,401,inf,0.4114364988829064,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,7,400,1.0,0,401,inf,0.1392065598195183,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,8,400,1.0,0,401,inf,0.09425792222188442,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,9,400,1.0,0,401,inf,0.0452434111239613,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,10,400,1.0,0,401,inf,0.11291379155886072,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,11,400,1.0,1,211,2.6004508709604472,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,12,400,1.0,0,401,inf,0.2562751784377812,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,13,400,1.0,0,401,inf,0.1038850954909209,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,14,400,1.0,0,401,inf,0.11911080841761607,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,15,400,1.0,0,401,inf,0.022233981236075978,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,16,400,1.0,0,401,inf,0.2420712449724347,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,17,400,1.0,0,401,inf,0.4217860195847918,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,18,400,1.0,0,401,inf,0.01770657332858605,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,19,400,1.0,1,357,2.133490246827169,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,20,400,1.0,1,256,2.132109329644877,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,21,400,1.0,1,319,2.28251309494059,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,22,400,1.0,0,401,inf,0.36615097315652323,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,23,400,1.0,1,309,2.280716591588828,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,24,400,1.0,0,401,inf,0.016274081745550714,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,25,400,1.0,0,401,inf,0.10944320063119795,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,26,400,1.0,0,401,inf,0.23935412117698257,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,27,400,1.0,0,401,inf,0.10446944589087578,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,28,400,1.0,0,401,inf,0.14234931964192263,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,DE-PEN,29,400,1.0,1,390,1.70310453578592,0.0,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,0,400,1.0,0,401,inf,1.6367831775021309,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,1,400,1.0,0,401,inf,1.4037554167677675,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,2,400,1.0,0,401,inf,0.7587690295014207,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,3,400,1.0,0,401,inf,1.2672751859286904,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,4,400,1.0,0,401,inf,1.0694198657887535,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,5,400,1.0,0,401,inf,1.5924564635329408,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,6,400,1.0,0,401,inf,1.2047494960280418,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,7,400,1.0,0,401,inf,1.9247122822224816,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,8,400,1.0,0,401,inf,1.8832426727340987,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,9,400,1.0,0,401,inf,1.0598453596615913,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,10,400,1.0,0,401,inf,0.7445892032217276,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,11,400,1.0,0,401,inf,1.0856851269693322,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,12,400,1.0,0,401,inf,0.5787454773781795,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,13,400,1.0,0,401,inf,1.3056130774137515,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,14,400,1.0,0,401,inf,1.3255223222057464,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,15,400,1.0,0,401,inf,1.3384169320875294,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,16,400,1.0,0,401,inf,1.2958849659979068,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,17,400,1.0,0,401,inf,1.0006784914515172,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,18,400,1.0,0,401,inf,1.8287010563471764,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,19,400,1.0,0,401,inf,1.277144034657214,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,20,400,1.0,0,401,inf,2.099936588685699,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,21,400,1.0,0,401,inf,0.7749351463130472,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,22,400,1.0,0,401,inf,1.3677512430216816,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,23,400,1.0,0,401,inf,1.5803940435415473,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,24,400,1.0,0,401,inf,0.5818271716425347,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,25,400,1.0,0,401,inf,1.0329016865144265,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,26,400,1.0,0,401,inf,1.4659731564448402,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,27,400,1.0,0,401,inf,1.1252003405703885,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,28,400,1.0,0,401,inf,1.4291645615594366,400.0,0.0,0.0,0.0,0.0,{}
ChainConstraint30,30,DE-PEN,29,400,1.0,0,401,inf,1.2224075771346647,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,0,400,1.0,0,401,inf,0.010010537374976109,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,1,400,1.0,0,401,inf,0.009904468745585378,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,2,400,1.0,0,401,inf,0.011075825897339837,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,3,400,1.0,0,401,inf,0.01837866757537383,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,4,400,1.0,0,401,inf,0.035696940575004416,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,5,400,1.0,0,401,inf,0.02054903378716858,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,6,400,1.0,0,333,inf,0.011279981613238937,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,7,400,1.0,0,401,inf,0.11,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,8,400,1.0,0,401,inf,0.11,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,9,400,1.0,0,401,inf,0.11,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,10,400,1.0,0,401,inf,0.023110496764616437,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,11,400,1.0,0,401,inf,0.009917461423762429,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,12,400,1.0,0,311,inf,0.009940886958147908,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,13,400,1.0,0,401,inf,0.009905824824237085,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,14,400,1.0,0,401,inf,0.050743150017288234,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,15,400,1.0,0,216,inf,0.009842980558079075,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,16,400,1.0,0,401,inf,0.010492770838913944,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,17,400,1.0,0,401,inf,0.009961063416742707,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,18,400,1.0,0,271,inf,0.010243501348327647,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,19,400,1.0,0,253,inf,0.039494789072449535,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,20,400,1.0,0,401,inf,0.09374287085215385,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,21,400,1.0,0,401,inf,0.0102645982556114,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,22,400,1.0,0,401,inf,0.009889856422399193,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,23,400,1.0,0,401,inf,0.010102036684130782,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,24,400,1.0,0,401,inf,0.10265249196223863,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,25,400,1.0,0,401,inf,0.034389215993472104,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,26,400,1.0,0,401,inf,0.009834375983184273,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,27,400,1.0,0,401,inf,0.009985982814037779,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,28,400,1.0,0,401,inf,0.014750018557246988,400.0,0.0,0.0,0.0,0.0,{}
G06,2,DE-PEN,29,400,1.0,0,401,inf,0.029472568878731238,400.0,0.0,0.0,0.0,0.0,{}
G08,2,DE-PEN,0,400,1.0,0,96,inf,0.1588965988784859,400.0,0.0,0.0,0.0,0.0,{}
G08,2,DE-PEN,1,400,1.0,0,9,inf,0.15970395731941806,400.0,0.0,0.0,0.0,0.0,{}
G08,2,DE-PEN,2,400,1.0,1,229,-0.03132384408119454,0.0,400.0,0.0,0.0,0.0,0.0,{}
G08,2,DE-PEN,3,400,1.0,0,44,inf,0.16998405175958087,400.0,0.0,0.0,0.0,0.0,{}
G08,2,DE-PEN,4,400,1.0,0,34,inf,0.16403093939465566,400.0,0.0,0.0,0.0,0.0,{}
G08,2,DE-PEN,5,400,1.0,1,62,-0.08858601741161928,0.0,400.0,0.0,0.0,0.0,0.0,{}
G08,2,DE-PEN,6,400,1.0,0,15,inf,0.00021611136298188351,400.0,0.0,0.0,0.0,0.0,{}
G08,2,DE-PEN,7,400,1.0,0,154,inf,0.0027617527937975,400.0,0.0,0.0,0.0,0.0,{}
G08,2,DE-PEN,8,400,1.0,0,17,inf,0.16143916219815418,400.0,0.0,0.0,0.0,0.0,{}
G08,2,DE-PEN,9,400,1.0,0,124,inf,0.1652359197402088,400.0,0.0,0.0,0.0,0.0,{}
G08,2,DE-PEN,10,400,1.0,1,201,-0.014354398407741638,0.0,400.0,0.0,0.0,0.0,0.0,{}
G08,2,DE-PEN,11,400,1.0,0,93,inf,0.1600965975342717,400.0,0.0,0.0,0.0,0.0,{}
G08,2,DE-PEN,12,400,1.0,0,73,inf,0.1584016081412024,400.0,0.0,0.0,0.0,0.0,{}
G08,2,DE-PEN,13,400,1.0,0,111,inf,0.1686476034945378,400.0,0.0,0.0,0.0,0.0,{}
G08,2,DE-PEN,14,400,1.0,0,75,inf,0.004299272036379109,400.0,0.0,0.0,0.0,0.0,{}
G08,2,DE-PEN,15,400,1.0,1,83,-0.0024507436963372296,0.0,400.0,0.0,0.0,0.0,0.0,{}
G08,2,DE-PEN,16,400,1.0,0,13,inf,0.1644534078431766,400.0,0.0,0.0,0.0,0.0,{}
G08,2,DE-PEN,17,400,1.0,0,11,inf,0.16503926258044319,400.0,0.0,0.0,0.0,0.0,{}
G08,2,DE-PEN,18,400,1.0,0,136,inf,0.15977237215100715,400.0,0.0,0.0,0.0,0.0,{}
G08,2,DE-PEN,19,400,1.0,0,187,inf,0.0012077270681623068,400.0,0.0,0.0,0.0,0.0,{}
G08,2,DE-PEN,20,400,1.0,1,16,-0.025614476362355216,0.0,400.0,0.0,0.0,0.0,0.0,{}
G08,2,DE-PEN,21,400,1.0,0,118,inf,0.15798489103447,400.0,0.0,0.0,0.0,0.0,{}
