problem,dim,method,seed,budget,kappa,success,first_feasible,best_f,final_ncv,declared_cost,structural_gain,allocation_sd,rcd,action_entropy,action_counts
Annulus10,10,JADE-NCV,0,400,1.0,1,173,1.8591304637866932,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,1,400,1.0,1,365,1.8693829787970482,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,2,400,1.0,1,263,2.142486560849084,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,3,400,1.0,1,252,0.8527912465570563,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,4,400,1.0,1,215,1.1887937953629866,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,5,400,1.0,1,244,0.9538152587679528,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,6,400,1.0,1,234,1.1191461767492235,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,7,400,1.0,1,171,1.119734349733812,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,8,400,1.0,1,208,0.8024072680107539,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,9,400,1.0,1,207,1.1231782049685548,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,10,400,1.0,1,128,1.4196668402322756,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,11,400,1.0,1,322,1.16895074799081,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,12,400,1.0,1,277,1.378019638754489,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,13,400,1.0,1,186,1.422386586919996,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,14,400,1.0,1,241,0.7050994206086046,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,15,400,1.0,1,231,1.2948942416613778,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,16,400,1.0,1,170,0.9449057680775517,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,17,400,1.0,1,101,0.9815262920510939,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,18,400,1.0,1,247,0.9726977257992262,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,19,400,1.0,1,248,0.7214944247289958,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,20,400,1.0,1,197,0.9706927648913924,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,21,400,1.0,1,244,1.2946204032928332,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,22,400,1.0,1,383,1.1064187129602465,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,23,400,1.0,1,152,0.7607386445629463,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,24,400,1.0,1,250,1.0910867132951645,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,25,400,1.0,1,294,2.2657194910502962,0.0,400.0,0.0,0.0,0.0,0.0,{}
Annulus10,10,JADE-NCV,26,400,1.0,1,164,1.020446289667369,0.0,400.0,0.0,0.0,0.0,0.0,{}
