problem,dim,method,seed,budget,kappa,success,first_feasible,best_f,final_ncv,declared_cost,structural_gain,allocation_sd,rcd,action_entropy,action_counts
Annulus10,10,UCB-Success,0,400,1.0,1,108,-0.014666249551778116,0.0,412.6250390264847,78.23737358184634,0.11710092634306772,0.23333333333333334,1.4662554504029948,"{""rand1"": 22, ""pbest"": 52, ""closure"": 76, ""local"": 71, ""consensus"": 139}"
Annulus10,10,UCB-Success,1,400,1.0,1,205,0.462455268292518,0.0,410.91466635310286,69.29100932242937,0.11894578146901298,0.4582963819805926,1.4913019180732352,"{""rand1"": 30, ""pbest"": 40, ""closure"": 80, ""local"": 83, ""consensus"": 127}"
Annulus10,10,UCB-Success,2,400,1.0,1,124,0.12956723612656484,0.0,413.7831644821882,81.17769585968574,0.11532132405167946,0.3549450549450549,1.459848534625113,"{""rand1"": 24, ""pbest"": 45, ""closure"": 81, ""local"": 69, ""consensus"": 141}"
Annulus10,10,UCB-Success,3,400,1.0,1,92,0.17904807181479424,0.0,423.7654735059961,80.69673718130774,0.1497677075533911,0.21428571428571427,1.3386283094930325,"{""rand1"": 35, ""pbest"": 35, ""closure"": 52, ""local"": 48, ""consensus"": 190}"
Annulus10,10,UCB-Success,4,400,1.0,1,148,-0.06657867356048525,0.0,419.0225269077293,79.9574982409421,0.13042495581632946,0.19000000000000003,1.384220108480324,"{""rand1"": 17, ""pbest"": 55, ""closure"": 48, ""local"": 75, ""consensus"": 165}"
Annulus10,10,UCB-Success,5,400,1.0,1,89,0.4705143987871203,0.0,413.36309626148636,62.63517170754956,0.1073665477602602,0.15810033104150747,1.4912905419835596,"{""rand1"": 30, ""pbest"": 61, ""closure"": 65, ""local"": 64, ""consensus"": 140}"
Annulus10,10,UCB-Success,6,400,1.0,1,94,-0.29664007224914163,0.0,422.1073841811863,76.76137070136667,0.15227246647307394,0.1476190476190476,1.3397429102957863,"{""rand1"": 22, ""pbest"": 31, ""closure"": 59, ""local"": 68, ""consensus"": 180}"
Annulus10,10,UCB-Success,7,400,1.0,1,92,-0.08387834676747896,0.0,413.3792520876918,71.38147589156411,0.11110245298143044,0.3120879120879121,1.4731381033982531,"{""rand1"": 24, ""pbest"": 54, ""closure"": 61, ""local"": 84, ""consensus"": 137}"
Annulus10,10,UCB-Success,8,400,1.0,1,46,-0.06119708119365616,0.0,408.6904108026407,64.53870316380082,0.10949281036541807,0.15714285714285714,1.4824261156078224,"{""rand1"": 23, ""pbest"": 58, ""closure"": 81, ""local"": 65, ""consensus"": 133}"
Annulus10,10,UCB-Success,9,400,1.0,1,139,0.003298244018328733,0.0,420.43123513867516,81.38029062246686,0.13702010111937937,0.7641758241758241,1.3736588015703481,"{""rand1"": 21, ""pbest"": 38, ""closure"": 56, ""local"": 75, ""consensus"": 170}"
Annulus10,10,UCB-Success,10,400,1.0,1,126,-0.13800904680069226,0.0,415.27277913245103,77.19049117087688,0.12446097420278561,0.20476190476190476,1.4364956006829972,"{""rand1"": 20, ""pbest"": 58, ""closure"": 62, ""local"": 68, ""consensus"": 152}"
Annulus10,10,UCB-Success,11,400,1.0,1,170,0.1246750611756644,0.0,416.0152808650733,70.97624283454456,0.12116532816663446,0.3900440503625329,1.477329453315062,"{""rand1"": 38, ""pbest"": 41, ""closure"": 59, ""local"": 77, ""consensus"": 145}"
Annulus10,10,UCB-Success,12,400,1.0,1,92,0.15305501170088603,0.0,420.4479086192901,78.51878336484158,0.14130251513162997,0.17857142857142855,1.3621937424770971,"{""rand1"": 24, ""pbest"": 44, ""closure"": 72, ""local"": 43, ""consensus"": 177}"
Annulus10,10,UCB-Success,13,400,1.0,1,110,-0.019570896777459712,0.0,418.23147312929586,72.28196224386916,0.12258337402985356,0.27272727272727276,1.4315033542961266,"{""rand1"": 27, ""pbest"": 55, ""closure"": 51, ""local"": 67, ""consensus"": 160}"
Annulus10,10,UCB-Success,14,400,1.0,1,81,0.044576275050296016,0.0,420.2560413606471,74.79763461633655,0.13461388637787683,0.028571428571428536,1.360648918431957,"{""rand1"": 32, ""pbest"": 28, ""closure"": 76, ""local"": 48, ""consensus"": 176}"
Annulus10,10,UCB-Success,15,400,1.0,1,107,-0.0181196124205171,0.0,416.00596130946195,68.58081797619319,0.12884106035741189,0.4307142857142857,1.4296109121598342,"{""rand1"": 23, ""pbest"": 51, ""closure"": 56, ""local"": 74, ""consensus"": 156}"
Annulus10,10,UCB-Success,16,400,1.0,1,170,0.04637727010732315,0.0,409.13522783365147,78.25091304870881,0.10512884162870591,0.5756527682843473,1.4524403843606715,"{""rand1"": 22, ""pbest"": 42, ""closure"": 61, ""local"": 123, ""consensus"": 112}"
