problem,dim,method,seed,budget,kappa,success,first_feasible,best_f,final_ncv,declared_cost,structural_gain,allocation_sd,rcd,action_entropy,action_counts
Annulus10,10,UCB-Violation,0,400,1.0,1,89,-0.07643514813823618,0.0,404.03501574642075,69.63747036392922,0.0804526917436017,0.26857142857142857,1.5647862265847916,"{""rand1"": 50, ""pbest"": 51, ""closure"": 92, ""local"": 64, ""consensus"": 103}"
Annulus10,10,UCB-Violation,1,400,1.0,1,141,0.01709420031421438,0.0,395.8589936098433,72.49263614025121,0.1383375149951617,0.15497835497835502,1.4932180156973263,"{""rand1"": 48, ""pbest"": 50, ""closure"": 67, ""local"": 146, ""consensus"": 49}"
Annulus10,10,UCB-Violation,2,400,1.0,1,121,0.02417148616594139,0.0,406.69944331259126,73.86486952281838,0.08218229827718596,0.4392207792207792,1.5623682784752846,"{""rand1"": 49, ""pbest"": 51, ""closure"": 64, ""local"": 91, ""consensus"": 105}"
Annulus10,10,UCB-Violation,3,400,1.0,1,76,-0.1324822327958145,0.0,395.53931109312606,66.50555599968258,0.06547167145300006,0.32,1.579731121818589,"{""rand1"": 50, ""pbest"": 59, ""closure"": 90, ""local"": 95, ""consensus"": 66}"
Annulus10,10,UCB-Violation,4,400,1.0,1,122,0.21549956413406762,0.0,410.3859134219712,68.17627252318859,0.1007097766306541,0.13186813186813182,1.5464591025051149,"{""rand1"": 56, ""pbest"": 52, ""closure"": 57, ""local"": 70, ""consensus"": 125}"
Annulus10,10,UCB-Violation,5,400,1.0,1,89,-0.22784455987844907,0.0,402.2436222561045,67.81906386444625,0.06923210994178527,0.3871062271062271,1.57400154115241,"{""rand1"": 51, ""pbest"": 48, ""closure"": 81, ""local"": 93, ""consensus"": 87}"
Annulus10,10,UCB-Violation,6,400,1.0,1,94,0.5052075539235541,0.0,396.5399327694302,61.23065485578253,0.07905190767943097,0.32269730269730273,1.563943548430209,"{""rand1"": 43, ""pbest"": 57, ""closure"": 89, ""local"": 103, ""consensus"": 68}"
Annulus10,10,UCB-Violation,7,400,1.0,1,103,-0.25074229636076206,0.0,404.64808686942433,77.05277619063965,0.0933808919639859,0.22666666666666666,1.549515671231959,"{""rand1"": 49, ""pbest"": 49, ""closure"": 98, ""local"": 57, ""consensus"": 107}"
Annulus10,10,UCB-Violation,8,400,1.0,1,67,-0.1848810122092598,0.0,393.5385616795284,67.9640001403532,0.07954619691327143,0.19285714285714287,1.56638746249536,"{""rand1"": 50, ""pbest"": 55, ""closure"": 88, ""local"": 106, ""consensus"": 61}"
Annulus10,10,UCB-Violation,9,400,1.0,1,138,0.19128666502702996,0.0,400.7767341589615,67.60349670108182,0.10853982563515045,0.32480586080586077,1.5348066359622932,"{""rand1"": 46, ""pbest"": 53, ""closure"": 60, ""local"": 128, ""consensus"": 73}"
Annulus10,10,UCB-Violation,10,400,1.0,1,150,0.2160038988947208,0.0,394.67221932793143,70.82468104576073,0.1072030813485462,0.35515147597500535,1.5386808729224082,"{""rand1"": 56, ""pbest"": 48, ""closure"": 73, ""local"": 127, ""consensus"": 56}"
Annulus10,10,UCB-Violation,11,400,1.0,1,118,0.13614312790883015,0.0,402.2060258131005,71.54115382925558,0.08129584326453534,0.3211471861471862,1.561638760403121,"{""rand1"": 50, ""pbest"": 45, ""closure"": 72, ""local"": 99, ""consensus"": 94}"
Annulus10,10,UCB-Violation,12,400,1.0,1,147,0.00622887931050306,0.0,412.4916264529949,67.56226005653568,0.1132016421523262,0.32891774891774894,1.530495998717889,"{""rand1"": 51, ""pbest"": 54, ""closure"": 64, ""local"": 58, ""consensus"": 133}"
Annulus10,10,UCB-Violation,13,400,1.0,1,123,0.10146826767725675,0.0,399.78678801957824,68.02070048384894,0.08759135018955978,0.25164835164835164,1.5571951723235689,"{""rand1"": 50, ""pbest"": 50, ""closure"": 67, ""local"": 115, ""consensus"": 78}"
Annulus10,10,UCB-Violation,14,400,1.0,1,97,-0.19660154890888384,0.0,401.9835137865975,71.2261997869866,0.07882377263311903,0.12857142857142856,1.565098395224434,"{""rand1"": 47, ""pbest"": 49, ""closure"": 91, ""local"": 74, ""consensus"": 99}"
Annulus10,10,UCB-Violation,15,400,1.0,1,132,0.13539792733101308,0.0,406.4363396916369,70.51773164805438,0.08777222143691302,0.20429971988795517,1.5579412419271206,"{""rand1"": 53, ""pbest"": 52, ""closure"": 55, ""local"": 91, ""consensus"": 109}"
Annulus10,10,UCB-Violation,16,400,1.0,1,134,-0.15592160877612063,0.0,400.7665674733162,69.91270404037537,0.07956437576084799,0.19856055056055052,1.5647136577820515,"{""rand1"": 52, ""pbest"": 47, ""closure"": 76, ""local"": 108, ""consensus"": 77}"
Annulus10,10,UCB-Violation,17,400,1.0,1,96,0.017763828000734505,0.0,395.21170233707363,66.64436806226983,0.08471656362142879,0.6861738261738262,1.5610466333677722,"{""rand1"": 49, ""pbest"": 52, ""closure"": 83, ""local"": 111, ""consensus"": 65}"
Annulus10,10,UCB-Violation,18,400,1.0,1,115,0.18260758256852289,0.0,400.2953389522905,65.80209488800024,0.1103772443466248,0.36078431372549025,1.5296893493814534,"{""rand1"": 45, ""pbest"": 47, ""closure"": 63, ""local"": 127, ""consensus"": 78}"
Annulus10,10,UCB-Violation,19,400,1.0,1,82,-0.0021689489371332638,0.0,394.0342103082152,69.12449011195812,0.10113846289127784,0.2714285714285714,1.5426251028913276,"{""rand1"": 49, ""pbest"": 49, ""closure"": 123, ""local"": 77, ""consensus"": 62}"
Annulus10,10,UCB-Violation,20,400,1.0,1,99,0.5866024198174946,0.0,402.5768253913626,60.92072546896875,0.09179932685087107,0.5279034009468792,1.5523219969455466,"{""rand1"": 48, ""pbest"": 51, ""closure"": 59, ""local"": 111, ""consensus"": 91}"
Annulus10,10,UCB-Violation,21,400,1.0,1,92,0.046112267139397645,0.0,402.69940990549907,67.63065411586146,0.09181974246964744,0.47384615384615386,1.5515547094055844,"{""rand1"": 49, ""pbest"": 49, ""closure"": 104, ""local"": 58, ""consensus"": 100}"
Annulus10,10,UCB-Violation,22,400,1.0,1,129,0.3845720571386751,0.0,408.9862983267898,68.53573187825782,0.09588225806424541,0.2950980392156863,1.549039065780898,"{""rand1"": 52, ""pbest"": 51, ""closure"": 54, ""local"": 87, ""consensus"": 116}"
Annulus10,10,UCB-Violation,23,400,1.0,1,82,0.01561573519398951,0.0,398.12324962309236,62.323059267709155,0.08348821741502407,0.5768831168831168,1.562792790746915,"{""rand1"": 47, ""pbest"": 53, ""closure"": 80, ""local"": 110, ""consensus"": 70}"
Annulus10,10,UCB-Violation,24,400,1.0,1,127,-0.06979760846547131,0.0,408.9634796660919,69.49493274011976,0.10240712675868795,0.23294117647058826,1.5388032817393522,"{""rand1"": 48, ""pbest"": 50, ""closure"": 54, ""local"": 89, ""consensus"": 119}"
Annulus10,10,UCB-Violation,25,400,1.0,1,118,0.4412713537155532,0.0,404.4479061889787,69.49749697320583,0.08268384263428691,0.7335294117647059,1.5610863580075114,"{""rand1"": 47, ""pbest"": 49, ""closure"": 69, ""local"": 94, ""consensus"": 101}"
Annulus10,10,UCB-Violation,26,400,1.0,1,59,-0.061870689041309546,0.0,391.77453725696677,62.15479068900508,0.09683294406955237,0.1034965034965035,1.5481213717372715,"{""rand1"": 49, ""pbest"": 53, ""closure"": 118, ""local"": 84, ""consensus"": 56}"
Annulus10,10,UCB-Violation,27,400,1.0,1,71,0.06068246475833011,0.0,390.0461108641419,66.73965660109225,0.09832182815599669,0.16,1.543141120315173,"{""rand1"": 49, ""pbest"": 52, ""closure"": 106, ""local"": 103, ""consensus"": 50}"
Annulus10,10,UCB-Violation,28,400,1.0,1,101,-0.22531129622891155,0.0,403.1560415149843,67.74366300102169,0.09156207811044034,0.14857142857142858,1.5483194270894773,"{""rand1"": 50, ""pbest"": 42, ""closure"": 106, ""local"": 66, ""consensus"": 96}"
Annulus10,10,UCB-Violation,29,400,1.0,1,127,0.2150433379062786,0.0,405.18252766358586,78.20787796314413,0.06806875392139719,0.23931372549019608,1.5779710037888564,"{""rand1"": 50, ""pbest"": 57, ""closure"": 70, ""local"": 82, ""consensus"": 101}"
ChainConstraint30,30,UCB-Violation,0,400,1.0,1,152,3.1047839949803975,0.0,421.9045878964069,67.45272284906079,0.09966916472456314,0.6164144809438927,1.5366668798638075,"{""rand1"": 42, ""pbest"": 42, ""closure"": 71, ""local"": 105, ""consensus"": 100}"
ChainConstraint30,30,UCB-Violation,1,400,1.0,1,156,4.581255057893097,0.0,428.8722519972657,63.942465031556786,0.13094628324181132,0.5473412464315827,1.496935084110591,"{""rand1"": 45, ""pbest"": 42, ""closure"": 50, ""local"": 88, ""consensus"": 135}"
