problem,dim,method,seed,budget,kappa,success,first_feasible,best_f,final_ncv,declared_cost,structural_gain,allocation_sd,rcd,action_entropy,action_counts
Annulus10,10,DCAS,0,400,1.0,1,127,-0.3028407609060618,0.0,404.3852572501112,70.8587596382522,0.050777591760409,0.6673809523809524,1.5794670233858878,"{""rand1"": 52, ""pbest"": 59, ""closure"": 63, ""local"": 98, ""consensus"": 88}"
Annulus10,10,DCAS,1,400,1.0,1,134,-0.1833444722567564,0.0,403.44401473436136,71.80070768306844,0.0478167089835004,0.1387912087912087,1.5851912680727689,"{""rand1"": 51, ""pbest"": 56, ""closure"": 78, ""local"": 86, ""consensus"": 89}"
Annulus10,10,DCAS,2,400,1.0,1,82,0.0490823196379046,0.0,401.63858845596496,66.84833666527763,0.0547463603416081,0.3620879120879121,1.5862697131561931,"{""rand1"": 54, ""pbest"": 53, ""closure"": 87, ""local"": 81, ""consensus"": 85}"
Annulus10,10,DCAS,3,400,1.0,1,91,-0.1090026282181543,0.0,398.5846392548685,71.08337127536156,0.0322868063144717,0.1485714285714285,1.6019235495681383,"{""rand1"": 56, ""pbest"": 71, ""closure"": 77, ""local"": 81, ""consensus"": 75}"
Annulus10,10,DCAS,4,400,1.0,1,164,-0.0933788055108435,0.0,408.7979226136843,74.9280957099644,0.073139849424158,0.1496703296703296,1.558373175340776,"{""rand1"": 51, ""pbest"": 59, ""closure"": 50, ""local"": 95, ""consensus"": 105}"
Annulus10,10,DCAS,5,400,1.0,1,142,0.4986977154729345,0.0,402.28965621896657,72.1893082924548,0.0439599829584886,0.3694505494505494,1.591178642442991,"{""rand1"": 54, ""pbest"": 58, ""closure"": 78, ""local"": 89, ""consensus"": 81}"
Annulus10,10,DCAS,6,400,1.0,1,138,-0.0992535407356723,0.0,402.5601370268117,78.10627146631086,0.0389688973888745,0.698921568627451,1.5946789014306972,"{""rand1"": 62, ""pbest"": 54, ""closure"": 75, ""local"": 85, ""consensus"": 84}"
Annulus10,10,DCAS,7,400,1.0,1,112,0.3341790919498587,0.0,401.7062235452811,63.60818905974848,0.04336170026207,0.1185714285714286,1.5919358011193137,"{""rand1"": 50, ""pbest"": 68, ""closure"": 71, ""local"": 87, ""consensus"": 84}"
Annulus10,10,DCAS,8,400,1.0,1,46,-0.1282489792626109,0.0,400.47905677007714,66.86099731067245,0.0405637750736993,0.1571428571428571,1.5971305352875698,"{""rand1"": 61, ""pbest"": 59, ""closure"": 83, ""local"": 70, ""consensus"": 87}"
Annulus10,10,DCAS,9,400,1.0,1,157,0.6301061933930685,0.0,398.38156157909566,74.43796461649082,0.0507634630711557,0.2942857142857143,1.5951618754682366,"{""rand1"": 65, ""pbest"": 69, ""closure"": 65, ""local"": 97, ""consensus"": 64}"
Annulus10,10,DCAS,10,400,1.0,1,124,0.1774632672331006,0.0,398.6586106048792,76.22978571431928,0.0555605217125716,0.5511764705882353,1.5625615752021065,"{""rand1"": 53, ""pbest"": 52, ""closure"": 73, ""local"": 115, ""consensus"": 67}"
Annulus10,10,DCAS,11,400,1.0,1,134,0.7160840736655169,0.0,402.2876867112988,73.04966820736017,0.049822155530779,0.1894117647058823,1.5897905232164835,"{""rand1"": 55, ""pbest"": 58, ""closure"": 71, ""local"": 85, ""consensus"": 91}"
Annulus10,10,DCAS,12,400,1.0,1,192,0.0069399112149192,0.0,406.8709538652266,74.19911773612962,0.0673579900461027,0.2521660561660562,1.5610204793616704,"{""rand1"": 47, ""pbest"": 74, ""closure"": 47, ""local"": 101, ""consensus"": 91}"
Annulus10,10,DCAS,13,400,1.0,1,97,0.2642450481268198,0.0,398.8358026754981,65.40584352584216,0.0387454868741842,0.1603405572755418,1.5985300055932137,"{""rand1"": 52, ""pbest"": 73, ""closure"": 77, ""local"": 80, ""consensus"": 78}"
Annulus10,10,DCAS,14,400,1.0,1,92,-0.1054358948714896,0.0,403.5527645671674,66.66310839262853,0.0485270175330986,0.2496703296703296,1.5922965682921473,"{""rand1"": 55, ""pbest"": 63, ""closure"": 75, ""local"": 72, ""consensus"": 95}"
Annulus10,10,DCAS,15,400,1.0,1,93,-0.0336513268084903,0.0,398.48088923951366,67.45464487636174,0.0494890306160542,0.2521833996756597,1.5773881631772624,"{""rand1"": 48, ""pbest"": 58, ""closure"": 79, ""local"": 101, ""consensus"": 74}"
Annulus10,10,DCAS,16,400,1.0,1,149,-0.205456111523796,0.0,402.90894706411854,72.78431753139219,0.0425877089572316,0.3019250924514082,1.5836816217684937,"{""rand1"": 55, ""pbest"": 78, ""closure"": 53, ""local"": 97, ""consensus"": 77}"
Annulus10,10,DCAS,17,400,1.0,1,67,0.1214459965198371,0.0,398.5178168398673,75.5917214768439,0.0481621094531174,0.15,1.5935914211015232,"{""rand1"": 52, ""pbest"": 63, ""closure"": 86, ""local"": 79, ""consensus"": 80}"
Annulus10,10,DCAS,18,400,1.0,1,69,-0.3339564521552661,0.0,398.6879521165868,66.10392060682499,0.0319488265409322,0.0799999999999999,1.6053835411792354,"{""rand1"": 61, ""pbest"": 73, ""closure"": 80, ""local"": 70, ""consensus"": 76}"
Annulus10,10,DCAS,19,400,1.0,1,138,0.3383834314811562,0.0,405.6558611227551,69.83680368249904,0.0492712697613049,0.4839124549341267,1.5812708571717942,"{""rand1"": 52, ""pbest"": 57, ""closure"": 67, ""local"": 89, ""consensus"": 95}"
Annulus10,10,DCAS,20,400,1.0,1,131,0.1147193413310893,0.0,397.7126063745087,68.50194017814898,0.0583446498626976,0.276890756302521,1.582885870662055,"{""rand1"": 57, ""pbest"": 78, ""closure"": 56, ""local"": 102, ""consensus"": 67}"
