kappa,method,mean_rank,median_declared_cost,success
1,DCAS,2.111111111111111,402.0458450738895,1.0
1,UCB-Success,1.7777777777777777,421.8424249470566,1.0
1,UCB-Violation,2.111111111111111,401.3683380191479,1.0
5,DCAS,2.3333333333333335,792.768248209098,1.0
5,UCB-Success,1.6666666666666667,902.3702440570517,1.0
5,UCB-Violation,2.0,780.4558683448066,1.0
10,DCAS,2.0,1244.973484019777,1.0
10,UCB-Success,2.0,1501.8424249470563,1.0
10,UCB-Violation,2.0,1237.6817319137172,1.0
50,DCAS,2.2222222222222223,5161.962695136096,1.0
50,UCB-Success,1.7777777777777777,6301.842424947064,1.0
50,UCB-Violation,2.0,4630.575760706616,1.0
