problem,method,mean_rank,success,median_eff,median_runtime
CantileverBeam,CMA-ES,5.066666666666666,1.0,1.0,0.03717435649923565
CantileverBeam,DCAS-CMA,5.466666666666667,1.0,1.0,0.3590056385000935
CantileverBeam,DCAS-DE,2.533333333333333,1.0,1.0,0.1944398420009747
CantileverBeam,DCAS-PSO,2.0,1.0,1.0,0.40406118749979214
CantileverBeam,JADE-NCV,4.0,1.0,1.0,0.030417139999371998
CantileverBeam,PSO,1.9333333333333333,1.0,1.0,0.0189458135000677
G06,CMA-ES,1.5,0.9333333333333333,275.0,0.0269282854997072
G06,DCAS-CMA,3.4,0.6666666666666666,369.0,0.08121468899935275
G06,DCAS-DE,2.4,0.6666666666666666,340.0,0.21678088299995574
G06,DCAS-PSO,4.833333333333333,0.1,401.0,0.1636804549998487
G06,JADE-NCV,3.533333333333333,0.5,398.0,0.060624642000220746
G06,PSO,5.333333333333333,0.03333333333333333,401.0,0.01367528450009555
G08,CMA-ES,2.3666666666666667,1.0,98.0,0.01385361500069845
G08,DCAS-CMA,2.533333333333333,1.0,43.0,0.1469983209999554
G08,DCAS-DE,2.9,1.0,54.5,0.1476291579992903
G08,DCAS-PSO,4.333333333333333,1.0,58.0,0.14002552999954787
G08,JADE-NCV,5.233333333333333,1.0,90.0,0.028760088999661
G08,PSO,3.6333333333333333,1.0,49.0,0.0137817959994208
NarrowCorridor12,CMA-ES,5.7,0.4666666666666667,401.0,0.020438323498638
NarrowCorridor12,DCAS-CMA,1.2666666666666666,1.0,46.0,0.15437840499907904
NarrowCorridor12,DCAS-DE,2.7333333333333334,1.0,139.0,0.1236933440004577
NarrowCorridor12,DCAS-PSO,2.533333333333333,1.0,88.5,0.1226536960002704
NarrowCorridor12,JADE-NCV,5.1,0.9,286.0,0.03650527500030875
NarrowCorridor12,PSO,3.6666666666666665,1.0,95.5,0.01922185549938145
PressureVessel,CMA-ES,5.3,1.0,4.5,0.01465710200045575
PressureVessel,DCAS-CMA,4.966666666666667,1.0,2.5,0.3233932154989816
PressureVessel,DCAS-DE,2.3,1.0,2.5,0.20130921600048163
PressureVessel,DCAS-PSO,2.3333333333333335,1.0,2.5,0.29147186599948327
PressureVessel,JADE-NCV,3.933333333333333,1.0,2.5,0.0302512535008645
PressureVessel,PSO,2.1666666666666665,1.0,2.5,0.013877385999876351
RotatedBox10,CMA-ES,5.8,0.06666666666666667,401.0,0.0193651160006993
RotatedBox10,DCAS-CMA,1.4333333333333333,1.0,61.0,0.162759374999041
RotatedBox10,DCAS-DE,2.5,1.0,244.5,0.11834576500041286
RotatedBox10,DCAS-PSO,2.6333333333333333,1.0,188.0,0.1177315929999167
RotatedBox10,JADE-NCV,5.2,0.13333333333333333,401.0,0.03984018399933115
RotatedBox10,PSO,3.433333333333333,1.0,246.0,0.01891538550080435
TensionSpring,CMA-ES,2.933333333333333,0.9,121.5,0.0188587469992853
TensionSpring,DCAS-CMA,5.25,1.0,83.5,0.15894771300008864
TensionSpring,DCAS-DE,2.466666666666667,1.0,69.0,0.18832132500028814
TensionSpring,DCAS-PSO,3.4,1.0,51.5,0.15627612200114527
TensionSpring,JADE-NCV,3.716666666666667,1.0,137.5,0.05633737649986865
TensionSpring,PSO,3.2333333333333334,1.0,64.0,0.01468994200058655
WeldedBeam,CMA-ES,4.733333333333333,1.0,8.5,0.0173627980002493
WeldedBeam,DCAS-CMA,4.933333333333334,1.0,4.0,0.17911940850081004
WeldedBeam,DCAS-DE,2.433333333333333,1.0,4.0,0.17796201349938195
WeldedBeam,DCAS-PSO,2.533333333333333,1.0,4.0,0.19143226199958005
WeldedBeam,JADE-NCV,4.133333333333334,1.0,4.0,0.033645724000052654
WeldedBeam,PSO,2.2333333333333334,1.0,4.0,0.01691313799983615
