dim,method,mean_rank,success,median_eff,median_runtime
100,DCAS-DE,1.25,0.75,263.5,0.2233874119992833
100,DCAS-PSO,1.75,0.8,227.5,0.2809141549996639
100,JADE-NCV,3.9,0.5,385.0,0.05861459350035145
100,PSO,3.1,0.5,325.5,0.03041441850018595
500,DCAS-DE,1.25,0.5,333.5,0.6261316989994157
500,DCAS-PSO,1.75,0.5,322.0,0.4432100280000668
500,JADE-NCV,3.2,0.5,411.5,0.0752535544997954
500,PSO,3.8,0.5,322.0,0.04273326899965465
1000,DCAS-DE,1.1,0.5,334.0,0.4768303235005078
1000,DCAS-PSO,1.9,0.5,330.0,0.5173417444993902
1000,JADE-NCV,3.05,0.5,434.0,0.0701978935003353
1000,PSO,3.95,0.5,329.0,0.04617608699936675
