problem,method,success,median_eff,median_best,median_cost
Annulus10,DCAS,1.0,125.5,-0.0007938743317640004,401.672406000623
Annulus10,DCAS-noClosure,1.0,125.5,0.12477277331292141,410.220400282705
Annulus10,DCAS-stationary,1.0,121.0,0.04277114627725915,401.023531992167
Annulus10,DE-EPS,0.13333333333333333,401.0,1.9319311471627212,400.0
Annulus10,DE-NCV,0.13333333333333333,401.0,1.9319311471627212,400.0
Annulus10,DE-PEN,0.23333333333333334,401.0,2.133490246827169,400.0
Annulus10,JADE-NCV,1.0,242.5,1.1214562773511834,400.0
Annulus10,UCB-Objective,1.0,127.5,0.086054533667487,404.86696969442096
Annulus10,UCB-Success,1.0,107.5,0.01421797582643975,414.7770288644692
Annulus10,UCB-Violation,1.0,109.0,0.0209676570833379,402.094769799849
ChainConstraint30,DCAS,1.0,225.0,4.858811971656081,429.025980161789
ChainConstraint30,DCAS-noClosure,1.0,225.0,5.089791059397917,436.61574503174086
ChainConstraint30,DCAS-stationary,1.0,202.0,4.645684462940269,423.9651438666308
ChainConstraint30,DE-EPS,0.0,401.0,,400.0
ChainConstraint30,DE-NCV,0.0,401.0,,400.0
ChainConstraint30,DE-PEN,0.0,401.0,,400.0
ChainConstraint30,JADE-NCV,0.06666666666666667,401.0,9.450914534684966,400.0
ChainConstraint30,UCB-Objective,1.0,237.5,4.824187772724448,433.6311843208349
ChainConstraint30,UCB-Success,1.0,185.5,4.110769512862852,436.95333897050466
ChainConstraint30,UCB-Violation,0.9666666666666667,190.5,4.582608720255512,427.35557046831667
G06,DCAS,0.6666666666666666,340.0,-5661.513728756262,382.12860505304764
G06,DCAS-noClosure,0.6666666666666666,340.0,-5683.569516237696,383.4792946430844
G06,DCAS-stationary,0.7333333333333333,335.0,-4172.619022334826,372.6400373275968
G06,DE-EPS,0.3333333333333333,401.0,-4598.72614619649,400.0
G06,DE-NCV,0.3333333333333333,401.0,-3820.3385771320877,400.0
G06,DE-PEN,0.0,401.0,,400.0
G06,JADE-NCV,0.5,398.0,-4303.878623141828,400.0
G06,UCB-Objective,0.8333333333333334,341.0,-3921.007143297805,389.40604318671114
G06,UCB-Success,0.9,267.0,-5191.894670023999,391.84525443851464
G06,UCB-Violation,0.5666666666666667,340.0,-2555.0041002886005,376.9104584509149
G08,DCAS,1.0,54.5,-0.09407614986910035,380.60216746746994
G08,DCAS-noClosure,1.0,54.5,-0.09323165670171199,385.2270800950714
G08,DCAS-stationary,1.0,50.5,-0.09243262207364855,375.1978646258707
G08,DE-EPS,0.9666666666666667,108.5,-0.0218328159929244,400.0
G08,DE-NCV,1.0,116.0,-0.08662710388224355,400.0
G08,DE-PEN,0.2,103.5,-0.02846916022177485,400.0
G08,JADE-NCV,1.0,90.0,-0.08397357578333836,400.0
G08,UCB-Objective,1.0,56.0,-0.09173616443859385,385.3994030005706
G08,UCB-Success,1.0,54.0,-0.09399732238339539,393.36781914774883
G08,UCB-Violation,1.0,69.0,-0.0920391601167857,384.6949260651046
G11,DCAS,1.0,91.0,0.9386526957689567,388.66016645671885
G11,DCAS-noClosure,1.0,91.0,0.9611275908998297,394.5223232028054
G11,DCAS-stationary,0.9333333333333333,68.0,0.9125963907796621,385.5191248965999
G11,DE-EPS,0.9666666666666667,68.0,1.0,400.0
G11,DE-NCV,1.0,68.0,0.9746254252097042,400.0
G11,DE-PEN,1.0,68.0,1.0,400.0
G11,JADE-NCV,0.9333333333333333,105.5,0.9935190504192755,400.0
G11,UCB-Objective,0.9666666666666667,75.0,0.9593575544396792,390.99556135596015
G11,UCB-Success,1.0,81.0,0.9436433898916807,391.4259943304731
G11,UCB-Violation,0.9,102.5,0.9126094223420878,389.6354629016947
MultiShell12,DCAS,1.0,79.0,0.8582237312732792,404.5593294591607
MultiShell12,DCAS-noClosure,1.0,79.0,0.8519035199065592,413.74197519038614
MultiShell12,DCAS-stationary,1.0,81.5,0.846219209933462,405.4917411243101
MultiShell12,DE-EPS,0.4,401.0,2.019420098192624,400.0
MultiShell12,DE-NCV,0.4,401.0,2.019420098192624,400.0
MultiShell12,DE-PEN,0.4,401.0,2.019420098192624,400.0
MultiShell12,JADE-NCV,1.0,151.5,1.118200807795807,400.0
MultiShell12,UCB-Objective,1.0,95.5,0.8565046504324085,406.1592405925492
MultiShell12,UCB-Success,1.0,62.5,0.8531442655867255,409.23787949708446
MultiShell12,UCB-Violation,1.0,82.5,0.8269014075786087,400.70214599729854
NarrowCorridor12,DCAS,1.0,139.0,1.29058095734274,404.8867516646703
NarrowCorridor12,DCAS-noClosure,1.0,139.0,1.2573636649698692,414.5968491521389
NarrowCorridor12,DCAS-stationary,1.0,136.5,1.2140055239436576,399.5952951220238
NarrowCorridor12,DE-EPS,0.06666666666666667,401.0,2.5848490021379336,400.0
NarrowCorridor12,DE-NCV,0.06666666666666667,401.0,2.5848490021379336,400.0
NarrowCorridor12,DE-PEN,0.03333333333333333,401.0,2.0831462804506646,400.0
NarrowCorridor12,JADE-NCV,0.9,286.0,2.16576664262506,400.0
NarrowCorridor12,UCB-Objective,1.0,162.0,1.2617473912455357,408.0559595974288
NarrowCorridor12,UCB-Success,1.0,137.0,1.1624641655962393,418.57221206185636
NarrowCorridor12,UCB-Violation,1.0,128.5,1.2029142490636702,404.10669777066084
RotatedBox10,DCAS,1.0,244.5,6.077116866075947,404.96678256046704
RotatedBox10,DCAS-noClosure,1.0,244.5,6.827852112433046,409.25143151961856
RotatedBox10,DCAS-stationary,1.0,224.0,6.183065410493364,397.3472792732074
RotatedBox10,DE-EPS,0.0,401.0,,400.0
RotatedBox10,DE-NCV,0.0,401.0,,400.0
RotatedBox10,DE-PEN,0.0,401.0,,400.0
RotatedBox10,JADE-NCV,0.13333333333333333,401.0,10.560315997759357,400.0
RotatedBox10,UCB-Objective,1.0,256.0,6.008591080620733,406.6054461879388
RotatedBox10,UCB-Success,1.0,210.5,5.726575667528658,421.0712253421749
RotatedBox10,UCB-Violation,1.0,243.0,6.16104639482073,405.1800257047639
RotatedEllipsoid20,DCAS,1.0,147.5,13.954060206867275,415.0518844869885
RotatedEllipsoid20,DCAS-noClosure,1.0,147.5,13.374565047593855,425.19222001794583
RotatedEllipsoid20,DCAS-stationary,1.0,129.5,11.389265313868943,408.1171643296901
RotatedEllipsoid20,DE-EPS,0.0,401.0,,400.0
RotatedEllipsoid20,DE-NCV,0.0,401.0,,400.0
RotatedEllipsoid20,DE-PEN,0.0,401.0,,400.0
RotatedEllipsoid20,JADE-NCV,0.8,341.0,44.054804161391075,400.0
RotatedEllipsoid20,UCB-Objective,1.0,160.0,14.751516580198011,418.4716334219836
RotatedEllipsoid20,UCB-Success,1.0,131.5,15.00122755147031,429.6164046655425
RotatedEllipsoid20,UCB-Violation,1.0,127.5,15.477508342929958,416.0889713823102
SparseFeasible20,DCAS,1.0,290.5,3.272759623795638,423.32696434360463
SparseFeasible20,DCAS-noClosure,1.0,290.5,3.532204312034036,427.58080666736396
SparseFeasible20,DCAS-stationary,1.0,257.0,2.685858904073715,420.8665952702527
SparseFeasible20,DE-EPS,0.0,401.0,,400.0
SparseFeasible20,DE-NCV,0.0,401.0,,400.0
SparseFeasible20,DE-PEN,0.0,401.0,,400.0
SparseFeasible20,JADE-NCV,0.0,401.0,,400.0
SparseFeasible20,UCB-Objective,1.0,275.5,3.324286963560678,422.7702481333168
SparseFeasible20,UCB-Success,1.0,221.5,2.844267639169491,430.6423518485771
SparseFeasible20,UCB-Violation,0.9666666666666667,261.0,2.9513085941712065,422.02272585278763
TwoBasin8,DCAS,1.0,151.5,0.1909370908728478,399.983762502937
TwoBasin8,DCAS-noClosure,1.0,151.5,0.2127084703012337,405.7546270454832
TwoBasin8,DCAS-stationary,1.0,155.5,0.2017533477516136,396.9333885070969
TwoBasin8,DE-EPS,0.13333333333333333,401.0,1.3183870043064738,400.0
TwoBasin8,DE-NCV,0.13333333333333333,401.0,1.3183870043064738,400.0
TwoBasin8,DE-PEN,0.13333333333333333,401.0,1.3183870043064738,400.0
TwoBasin8,JADE-NCV,0.8333333333333334,329.5,1.108923426482099,400.0
TwoBasin8,UCB-Objective,1.0,171.0,0.22290295307086772,403.14696525405435
TwoBasin8,UCB-Success,1.0,167.0,0.8450128028111731,418.4056799703204
TwoBasin8,UCB-Violation,1.0,152.0,0.8608578078832226,393.5842627666944
WeldedBeam,DCAS,1.0,4.0,2.5157715563755154,393.8200593567798
WeldedBeam,DCAS-noClosure,1.0,4.0,2.350529274025156,397.5507765664305
WeldedBeam,DCAS-stationary,1.0,4.0,2.345342605129595,389.5116330940449
WeldedBeam,DE-EPS,1.0,4.0,3.3850978783404377,400.0
WeldedBeam,DE-NCV,1.0,4.0,3.188597070399995,400.0
WeldedBeam,DE-PEN,1.0,4.0,3.1008545757292287,400.0
WeldedBeam,JADE-NCV,1.0,4.0,3.178139477045171,400.0
WeldedBeam,UCB-Objective,1.0,4.0,2.54524399843754,396.99446460656577
WeldedBeam,UCB-Success,1.0,4.0,2.830720921213965,411.32726059188604
WeldedBeam,UCB-Violation,1.0,4.0,2.555770710791924,389.4725947104583
